theta,energy
0,1
0.031415926535897934,1
0.06283185307179587,0.6
0.09424777960769379,0.992
0.12566370614359174,1
0.15707963267948966,0.992
0.18849555921538758,0.976
0.21991148575128552,0.984
0.25132741228718347,0.952
0.2827433388230814,0.96
0.3141592653589793,0.952
0.34557519189487723,0.8960000000000001
0.37699111843077515,0.9199999999999999
0.4084070449666731,0.944
0.43982297150257105,0.9119999999999999
0.4712388980384689,0.8799999999999999
0.5026548245743669,0.8480000000000001
0.5340707511102649,0.9119999999999999
0.5654866776461628,0.8959999999999999
0.5969026041820606,0.808
0.6283185307179586,0.8400000000000001
0.6597344572538566,0.784
0.6911503837897545,0.808
0.7225663103256523,0.752
0.7539822368615503,0.736
0.7853981633974483,0.7200000000000001
0.8168140899333463,0.656
0.8482300164692441,0.552
0.8796459430051421,0.728
0.9110618695410401,0.504
0.9424777960769378,0.48
0.9738937226128358,0.544
1.0053096491487339,0.328
1.0367255756846319,0.504
1.0681415022205298,0.512
1.0995574287564276,0.488
1.1309733552923256,0.528
1.1623892818282235,0.43200000000000005
1.1938052083641213,0.392
1.2252211349000193,0.288
1.2566370614359172,0.4
1.288052987971815,0.27999999999999997
1.3194689145077132,0.31200000000000006
1.350884841043611,0.152
1.382300767579509,0.248
1.413716694115407,0.06399999999999999
1.4451326206513047,0.088
1.4765485471872029,0.11200000000000002
1.5079644737231006,-0.08
1.5393804002589986,0.03200000000000001
1.5707963267948966,-0.08800000000000001
1.6022122533307945,-0.007999999999999997
1.6336281798666925,0.015999999999999997
1.6650441064025905,-0.12
1.6964600329384882,-0.12
1.7278759594743862,-0.08800000000000001
1.7592918860102842,-0.184
1.790707812546182,-0.32799999999999996
1.8221237390820801,-0.20800000000000002
1.853539665617978,-0.296
1.8849555921538756,-0.32
1.9163715186897738,-0.352
1.9477874452256716,-0.368
1.9792033717615698,-0.28800000000000003
2.0106192982974678,-0.39199999999999996
2.0420352248333655,-0.304
2.0734511513692637,-0.512
2.1048670779051615,-0.44800000000000006
2.1362830044410597,-0.384
2.1676989309769574,-0.52
2.199114857512855,-0.5760000000000001
2.2305307840487534,-0.5439999999999999
2.261946710584651,-0.72
2.293362637120549,-0.648
2.324778563656447,-0.72
2.356194490192345,-0.7120000000000001
2.3876104167282426,-0.704
2.419026343264141,-0.664
2.4504422698000385,-0.696
2.4818581963359367,-0.792
2.5132741228718345,-0.768
2.5446900494077322,-0.9039999999999999
2.57610597594363,-0.8800000000000001
2.6075219024795286,-0.8320000000000001
2.6389378290154264,-0.8480000000000001
2.670353755551324,-0.8480000000000001
2.701769682087222,-0.944
2.7331856086231197,-0.9279999999999999
2.764601535159018,-0.9040000000000001
2.796017461694916,-0.96
2.827433388230814,-0.9359999999999999
2.8588493147667116,-0.968
2.8902652413026093,-0.968
2.9216811678385075,-1
2.9530970943744057,-0.992
2.9845130209103035,-0.984
3.015928947446201,-0.992
3.0473448739820994,-0.992
3.078760800517997,-1
3.1101767270538954,-1
3.141592653589793,-1
3.173008580125691,-1
3.204424506661589,-1
3.235840433197487,-1
3.267256359733385,-0.992
3.2986722862692828,-0.984
3.330088212805181,-0.968
3.3615041393410787,-0.984
3.3929200658769765,-0.96
3.4243359924128742,-0.992
3.4557519189487724,-0.968
3.4871678454846706,-0.9359999999999999
3.5185837720205684,-0.968
3.549999698556466,-0.952
3.581415625092364,-0.9199999999999999
3.6128315516282625,-0.9199999999999999
3.6442474781641603,-0.8720000000000001
3.675663404700058,-0.8400000000000001
3.707079331235956,-0.8320000000000001
3.7384952577718535,-0.5279999999999999
3.7699111843077513,-0.8640000000000001
3.80132711084365,-0.784
3.8327430373795477,-0.7999999999999999
3.8641589639154454,-0.7280000000000001
3.895574890451343,-0.76
3.926990816987241,-0.6719999999999999
3.9584067435231396,-0.736
3.9898226700590373,-0.648
4.0212385965949355,-0.41600000000000004
4.052654523130833,-0.632
4.084070449666731,-0.624
4.115486376202629,-0.488
4.1469023027385274,-0.608
4.178318229274425,-0.512
4.209734155810323,-0.512
4.241150082346221,-0.512
4.272566008882119,-0.376
4.303981935418017,-0.41600000000000004
4.335397861953915,-0.43999999999999995
4.366813788489813,-0.392
4.39822971502571,-0.28800000000000003
4.429645641561608,-0.344
4.461061568097507,-0.22400000000000003
4.4924774946334045,-0.288
4.523893421169302,-0.12
4.5553093477052,-0.016000000000000007
4.586725274241098,0
4.618141200776996,-0.05600000000000001
4.649557127312894,-0.032
4.680973053848792,-0.04
4.71238898038469,0.015999999999999997
4.743804906920587,-0.015999999999999997
4.775220833456485,0.008000000000000002
4.806636759992384,0.136
4.838052686528282,0.168
4.869468613064179,0.192
4.900884539600077,0.176
4.932300466135975,0.10400000000000001
4.9637163926718735,0.264
4.995132319207771,0.23200000000000004
5.026548245743669,0.296
5.057964172279567,0.296
5.0893800988154645,0.384
5.120796025351362,0.33599999999999997
5.15221195188726,0.4159999999999999
5.183627878423158,0.24
5.215043804959057,0.368
5.246459731494955,0.512
5.277875658030853,0.536
5.3092915845667505,0.544
5.340707511102648,0.616
5.372123437638546,0.616
5.403539364174444,0.648
5.434955290710342,0.672
5.466371217246239,0.664
5.497787143782137,0.76
5.529203070318036,0.8
5.560618996853934,0.776
5.592034923389832,0.752
5.62345084992573,0.808
5.654866776461628,0.8
5.686282702997525,0.8400000000000001
5.717698629533423,0.8640000000000001
5.749114556069321,0.8800000000000001
5.780530482605219,0.8720000000000001
5.811946409141117,0.8719999999999999
5.843362335677015,0.944
5.874778262212914,0.9040000000000001
5.906194188748811,0.9359999999999999
5.937610115284709,0.9359999999999999
