chi,fidelity,one_minus_fidelity
4,0.000000025283053234118824,0.9999999747169468
8,0.000000002475875230099986,0.9999999975241247
16,0.00000003849568975935514,0.9999999615043103
32,0.00000010756100538050471,0.9999998924389946
